Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Boot1,TS-1088-AR02016,SW_TS-1088-AR02016,120.5,-28.425,90.0,top
C6,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.5,-63.6125,90.0,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.5,-63.620185,90.0,top
D1,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,188.5,-34.0,0.0,top
En1,TS-1088-AR02016,SW_TS-1088-AR02016,113.0,-28.425,90.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,134.0,-25.96,180.0,top
J2,Screw_Terminal_01x02,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,188.0,-25.5,180.0,top
Motor1,5023520400,CONN_SD-502352-001_04_MOL,193.738049,-85.0,90.0,top
Motor2,5023520400,CONN_SD-502352-001_04_MOL,193.238049,-69.5,90.0,top
R1,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113.0,-34.5,90.0,top
R2,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.5,-34.5,-90.0,top
R3,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.5,-34.0,-90.0,top
R4,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.0,-32.5,-90.0,top
Trans_1,5023520200,CONN_SD-502352-001_02_MOL,167.0,-114.738049,0.0,top
Trans_2,5023520200,CONN_SD-502352-001_02_MOL,180.5,-114.647049,0.0,top
Trans_3,5023520200,CONN_SD-502352-001_02_MOL,193.5,-114.738049,0.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,143.1,-71.91,0.0,top
U2,LM1117DT-3.3,TO-252-3_TabPin2,154.0,-31.4,-90.0,top
U3,LM1117DT-5.0,TO-252-3_TabPin2,170.34,-33.5,180.0,top
mosfet1,2N7000,TO-92_Inline_Wide,170.0,-104.86,0.0,top
mosfet2,2N7000,TO-92_Inline_Wide,177.5,-104.86,0.0,top
mosfet3,2N7000,TO-92_Inline_Wide,185.0,-104.86,0.0,top
tr1,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,170.5,-98.5,0.0,top
tr2,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.0,-98.5,0.0,top
tr3,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,185.5,-98.5,0.0,top
vd_c3,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.5375,-99.5,180.0,top
vd_c4,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.5,-100.5375,90.0,top
vd_r1,4.6k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.5,-104.0,0.0,top
